DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 tobc_01_feat_27.wav	 2.142	 0.000	 0	 16000	0.0000
 tobc_01_pred_9.wav	 2.348	 0.000	 0	 16000	0.0000
 tobc_01_feat_9.wav	 2.083	 0.000	 0	 16000	0.0000
 tobc_02_pred_6.wav	 2.445	 0.000	 0	 16000	0.0000
 tobc_02_feat_6.wav	 1.954	 0.000	 0	 16000	0.0000
 tobc_03_pred_22.wav	 2.280	 0.000	 0	 16000	0.0000
 tobc_03_feat_22.wav	 2.137	 0.000	 0	 16000	0.0000
 zuzk_01_pred_13.wav	 2.637	 0.000	 0	 16000	0.0000
 zuzk_01_feat_13.wav	 2.620	 0.000	 0	 16000	0.0000
 zuzk_01_pred_15.wav	 2.616	 0.000	 0	 16000	0.0000
 zuzk_01_feat_15.wav	 2.673	 0.000	 0	 16000	0.0000
 zuzk_02_pred_29.wav	 2.695	 0.000	 0	 16000	0.0000
 zuzk_02_feat_29.wav	 2.603	 0.000	 0	 16000	0.0000
 sree_01_pred_11.wav	 2.667	 0.000	 0	 16000	0.0000
 sree_01_feat_11.wav	 2.333	 0.000	 0	 16000	0.0000
 sree_01_pred_23.wav	 2.984	 0.000	 0	 16000	0.0000
 sree_01_feat_23.wav	 2.558	 0.000	 0	 16000	0.0000
 sree_01_pred_25.wav	 2.673	 0.000	 0	 16000	0.0000
 sree_01_feat_25.wav	 2.338	 0.000	 0	 16000	0.0000
 sree_01_pred_4.wav	 2.577	 0.000	 0	 16000	0.0000
 sree_01_feat_4.wav	 2.312	 0.000	 0	 16000	0.0000
 stan_03_pred_14.wav	 2.805	 0.000	 0	 16000	0.0000
 stan_03_feat_14.wav	 2.394	 0.000	 0	 16000	0.0000
 stan_03_pred_9.wav	 2.814	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.668	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.328	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.985	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.550	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.673	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.333	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.577	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.307	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.805	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.392	 0.000	 0	 16000	0.0000
 tempPesqFileDeg.wav	 2.814	 0.000	 0	 16000	0.0000
