REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/331_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/331_feat.wav	 SQValue=2.948	 2.948	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/332_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/332_feat.wav	 SQValue=3.055	 3.055	 0.000	 0	 16000	0.0000
 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_ref/333_ref.wav	 C:/Users/TobiasToft/Desktop/AudioFilesTest/TIMIT_feat/333_feat.wav	 SQValue=2.874	 2.874	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_1.wav	 C:/Users/mhp/Documents/GitHub/dnn-SpeechEnhancement/pythonFiles/dnnTraining/FFN/predictionFiles/sree_01_pred_1.wav	 SQValue=1.774	 1.774	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_1.wav	 C:/Users/mhp/Documents/GitHub/dnn-SpeechEnhancement/pythonFiles/dnnTraining/FFN/predictionFiles/sree_01_pred_1.wav	 SQValue=1.784	 1.784	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_1.wav	 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testInput/sree_01_feat_1.wav	 SQValue=2.319	 2.319	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_10.wav	 C:/Users/mhp/Documents/GitHub/dnn-SpeechEnhancement/pythonFiles/dnnTraining/FFN/predictionFiles/sree_01_pred_10.wav	 SQValue=1.752	 1.752	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_10.wav	 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testInput/sree_01_feat_10.wav	 SQValue=2.340	 2.340	 0.000	 0	 16000	0.0000
 C:/Users/mhp/Documents/DNN_Datasets/bcmRecordings/testReference/sree_01_ref_11.wav	 C:/Users/mhp/Documents/GitHub/dnn-SpeechEnhancement/pythonFiles/dnnTraining/FFN/predictionFiles/sree_01_pred_11.wav	 SQValue=1.790	 1.790	 0.000	 0	 16000	0.0000
